timestamp,pos_x,pos_y,pos_z
0.0,18.031,8.465,0
3.3196963983,16.902896980698454,8.465,0
6.6393927966,15.868207154264898,8.465,0
9.9590891949,14.764644156707483,8.465,0
13.2787855932,13.755988240664312,8.465,0
16.5984819915,12.969875441079115,8.465,0
19.9181783898,12.13051269644995,8.465,0
23.2378747881,11.165547947207386,8.465,0
26.5575711864,10.31528037816111,8.465,0
29.8772675847,9.39283781439875,8.465,0
33.196963983,8.401745572197411,8.465,0
36.51666038130001,7.626858792496664,8.465,0
39.83635677960001,6.700775606107191,8.465,0
43.15605317790001,5.472473596079329,8.465,0
46.475749576200016,4.367142938909816,8.465,0
49.79544597450002,3.2601669844201377,8.465,0
53.11514237280002,2.078346724686149,8.465,0
